bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
29.55,54.17,1.5,240,49.0,428.3,149.148,2.14
24.01,40.09,6.69,116,31.0,135.8,26.639,1.97
25.53,77.9,4.68,85,60.0,193.6,55.909,1.84
8.28,42.12,6.68,171,33.0,390.45,73.946,26.2
10.29,10.47,1.46,205,32.0,351.867,85.018,12.8
23.01,27.36,0.91,132,46.0,148.636,29.139,13.1
7.92,17.79,1.86,96,32.0,224.882,46.051,9.71
23.96,8.22,3.92,128,48.0,133.0,43.852,13.0
17.83,5.81,2.65,99,41.0,132.723,55.361,11.0
16.42,47.87,2.43,243,34.0,313.368,62.398,2.7
8.29,23.08,4.03,131,23.0,277.375,54.043,19.6
28.19,43.67,2.66,209,51.0,246.308,78.4,2.38
20.1,24.32,8.79,182,40.0,210.0,63.965,1.69
19.13,51.76,3.66,193,43.0,214.1,30.329,2.59
24.27,9.55,6.04,59,48.0,83.643,54.967,13.3
16.41,45.8,2.49,249,32.0,286.062,39.666,83.1
25.77,71.25,9.25,108,48.0,185.286,52.239,2.1
19.1,68.86,9.5,156,54.0,287.833,61.326,2.7
26.65,20.97,8.4,43,54.0,161.944,113.311,14.2
22.43,37.4,5.33,249,47.0,312.538,48.311,1.65
14.88,7.93,7.55,242,38.0,279.889,53.347,17.2
17.69,42.7,1.12,71,42.0,119.992,26.115,10.5
8.09,30.56,7.95,240,25.0,490.947,84.033,6.01
28.84,69.72,5.49,241,49.0,387.571,105.47,6.95
11.79,73.05,1.85,52,45.0,172.364,28.612,1.03
15.16,28.63,4.31,217,31.0,275.059,72.532,10.6
18.04,76.74,8.93,53,63.0,167.5,13.664,1.59
9.51,6.79,2.19,78,29.0,154.111,32.66,1.53
26.19,65.19,7.17,137,48.0,201.286,34.495,3.03
22.58,59.96,7.29,202,46.0,345.286,98.91,2.96
9.83,72.86,0.71,57,40.0,191.6,48.631,1.62
18.05,45.81,3.44,26,69.0,114.017,17.012,5.83
28.34,57.77,2.24,167,48.0,268.818,53.675,1.12
9.55,48.34,7.64,191,33.0,389.529,82.895,10.7
14.53,26.35,5.45,175,38.0,247.222,58.777,10.6
19.12,12.06,5.73,101,38.0,129.433,52.33,12.4
19.66,16.27,0.48,134,44.0,151.571,42.484,1.15
11.55,68.92,4.87,121,0.0,252.625,48.766,0.0
16.32,13.53,0.27,189,41.0,240.0,56.098,1.89
13.33,71.74,7.3,136,35.0,246.231,37.592,1.99
24.72,77.72,2.76,160,48.0,262.875,72.472,13.7
28.27,42.95,2.43,145,51.0,277.933,89.746,2.45
10.22,12.58,1.56,156,31.0,241.071,50.828,17.6
26.95,67.44,2.69,207,51.0,349.812,68.202,2.34
12.76,57.97,7.78,216,39.0,352.786,71.407,1.16
8.73,9.23,0.4,177,32.0,339.778,115.861,10.7
20.71,71.65,7.65,72,59.0,206.0,57.219,9.01
21.86,10.5,0.06,56,41.0,81.454,38.358,13.4
7.0,42.43,7.19,24,28.0,103.273,33.808,5.31
29.24,49.48,2.78,156,47.0,174.0,31.183,2.6
17.74,58.78,7.9,79,36.0,143.619,24.369,2.34
12.68,45.87,9.52,188,36.0,305.5,70.469,20.6
11.15,41.16,4.74,191,32.0,311.125,57.155,1.07
25.9,29.8,5.82,50,52.0,125.915,38.728,12.8
26.62,16.78,1.99,39,50.0,179.633,100.534,14.0
25.58,32.49,9.68,162,50.0,196.583,34.608,1.16
28.66,34.85,5.47,116,53.0,343.818,72.893,1.5
23.44,18.14,5.7,223,53.0,421.111,50.714,1.76
14.21,45.27,1.72,114,38.0,201.429,46.484,2.3
10.18,54.77,7.62,125,34.0,289.643,40.621,9.62
9.1,33.95,1.94,111,32.0,244.5,47.32,43.3
6.2,47.57,9.82,105,27.0,279.389,23.48,26.5
19.23,54.15,0.59,116,41.0,186.545,41.474,1.33
5.71,31.71,4.47,221,26.0,629.5,45.512,11.6
21.05,15.07,9.27,99,44.0,143.743,54.004,12.3
6.33,14.44,8.42,21,24.0,67.194,21.7,5.05
8.76,54.48,4.74,134,33.0,330.933,64.294,2.3
11.8,60.45,3.67,223,33.0,368.583,44.635,3.71
23.39,67.98,6.64,241,45.0,273.167,42.225,49.9
25.1,78.84,6.5,216,46.0,303.0,80.897,2.16
15.23,22.77,8.59,73,38.0,123.65,28.03,41.3
24.45,25.93,6.54,78,47.0,182.31,78.245,13.6
15.07,15.48,4.42,191,41.0,250.25,67.192,36.0
6.92,28.65,2.18,35,32.0,115.793,33.538,4.92
22.58,8.06,5.21,102,45.0,104.008,20.206,12.9
14.86,20.17,1.03,119,30.0,150.733,29.018,1.77
13.43,12.04,5.54,64,30.0,98.46,29.352,9.79
26.06,18.04,4.54,26,62.0,110.662,65.46,11.4
20.24,18.29,3.28,83,40.0,112.91,41.176,12.7
11.14,31.29,3.68,56,34.0,129.581,44.474,7.65
26.03,5.08,3.36,167,50.0,193.8,49.815,13.4
21.35,26.0,5.78,173,44.0,191.75,63.787,2.07
28.29,76.42,6.75,161,0.0,315.091,63.544,0.0
16.35,46.41,0.48,201,32.0,257.588,58.442,2.59
23.31,13.4,6.61,172,42.0,219.667,77.123,1.65
23.77,49.61,4.91,172,49.0,202.3,49.835,1.76
11.1,75.48,1.49,25,70.0,167.875,12.171,2.08
17.38,17.1,3.39,203,42.0,277.583,76.804,12.9
18.55,66.03,9.35,56,60.0,160.714,18.182,7.76
7.21,21.16,5.65,30,32.0,81.5,13.373,5.11
27.01,11.54,9.88,225,56.0,351.643,177.545,13.9
29.19,15.05,4.36,94,54.0,519.846,107.613,2.51
16.86,58.58,0.19,35,66.0,141.625,20.777,1.91
5.45,19.72,9.52,149,18.0,393.556,37.771,11.4
25.07,55.67,4.02,154,48.0,203.846,28.568,1.77
28.99,74.55,3.47,59,73.0,240.778,61.337,2.37
17.8,58.0,9.32,184,36.0,240.95,41.968,74.2
26.58,22.86,3.07,51,45.0,90.486,39.153,15.4
22.01,5.96,4.02,68,46.0,142.443,104.751,12.3
6.59,50.23,8.73,28,28.0,126.824,22.089,5.05
25.69,48.39,3.89,201,0.0,184.778,20.566,0.0
24.9,52.13,2.43,172,37.0,198.1,57.403,16.3
29.13,48.48,9.15,31,76.0,108.725,14.905,7.23
14.19,74.88,6.78,245,36.0,391.333,86.46,4.48
24.57,40.14,6.83,86,48.0,151.83,66.959,13.0
20.03,56.68,7.99,59,55.0,146.2,40.91,1.59
26.45,38.39,3.73,21,79.0,108.0,41.492,5.79
16.32,23.29,7.37,110,32.0,133.235,18.498,3.77
5.89,13.91,6.44,138,21.0,370.1,76.71,15.4
22.43,18.32,2.07,106,37.0,147.053,73.418,6.91
18.95,76.49,2.99,110,40.0,191.0,39.319,10.2
17.62,53.72,9.12,94,37.0,177.125,63.895,1.36
22.82,42.73,7.86,238,45.0,330.2,93.028,1.77
5.56,28.84,6.68,174,19.0,488.55,53.693,16.6
25.48,11.48,5.96,108,45.0,134.633,52.5,14.5
5.56,56.9,6.63,98,25.0,316.095,41.505,12.1
22.44,22.36,2.36,109,44.0,149.827,47.179,2.57
7.22,12.26,9.33,137,0.0,295.45,38.752,0.0
22.42,58.7,2.29,69,53.0,148.111,28.55,10.8
9.2,20.8,7.55,84,29.0,159.385,27.852,6.87
20.05,66.74,0.5,56,62.0,180.867,41.535,1.9
18.72,70.94,9.06,178,52.0,241.588,51.671,2.75
16.64,26.34,6.99,178,40.0,199.643,53.213,2.67
23.4,42.54,6.1,80,52.0,177.831,67.632,13.3
7.17,35.42,8.6,50,26.0,124.7,18.779,5.63
20.52,72.96,1.06,157,43.0,220.0,32.961,2.71
12.65,13.41,0.55,130,36.0,182.333,52.556,2.37
5.38,11.99,0.22,74,24.0,219.778,61.188,14.1
24.54,15.83,3.04,81,45.0,115.5,59.434,13.5
18.19,20.81,5.61,44,40.0,81.929,34.133,11.5
13.32,79.7,4.29,247,34.0,410.933,78.0,2.5
7.8,54.73,4.26,152,29.0,379.706,48.735,2.26
13.98,10.69,8.18,207,31.0,272.182,98.6,44.0
15.75,28.55,2.63,110,35.0,133.059,24.368,2.13
9.58,39.22,1.99,170,33.0,342.769,63.21,34.6
10.83,65.82,3.22,186,31.0,351.929,55.547,2.0
7.55,36.46,6.81,206,31.0,508.214,99.21,22.1
25.4,14.95,4.92,242,44.0,246.111,56.326,1.66
24.82,8.71,2.95,97,46.0,171.765,75.315,14.0
10.58,15.83,8.19,90,34.0,184.6,60.293,17.8
17.55,46.73,7.46,70,42.0,136.556,44.385,12.0
5.07,7.89,5.38,111,24.0,347.667,60.23,13.0
7.29,62.1,0.94,138,28.0,344.167,31.709,2.35
21.73,20.95,5.42,42,46.0,76.25,31.284,12.4
25.7,29.26,5.17,128,52.0,225.818,89.474,13.0
6.61,67.88,5.47,135,23.0,351.706,44.599,31.4
8.88,46.28,5.09,72,35.0,209.714,37.563,1.67
24.64,44.0,2.09,177,45.0,204.077,51.965,55.6
7.58,69.07,0.69,84,32.0,239.5,33.029,29.7
24.03,51.62,9.12,111,59.0,166.75,45.166,13.0
17.42,48.41,7.95,32,67.0,124.583,27.321,6.66
15.78,12.51,9.5,67,38.0,96.792,38.385,10.2
21.43,25.8,8.76,214,49.0,220.692,42.145,2.55
16.19,34.26,8.29,139,43.0,196.6,49.844,61.2
17.2,78.74,6.9,150,43.0,252.2,40.155,1.04
17.97,59.05,2.19,103,40.0,174.062,48.019,4.7
21.06,14.37,4.87,221,45.0,274.375,98.006,11.8
5.36,8.13,6.37,83,19.0,224.684,24.12,11.3
8.85,17.62,6.77,199,31.0,390.0,91.329,13.0
20.73,43.95,1.25,132,44.0,200.333,58.947,2.31
26.52,53.03,6.11,105,59.0,221.545,82.935,1.25
28.75,35.92,5.28,181,46.0,189.632,35.633,2.15
18.77,63.91,7.88,237,40.0,340.438,81.194,1.78
13.25,29.11,1.34,194,30.0,292.3,48.68,30.6
29.11,72.86,0.99,98,61.0,186.667,35.531,1.83
10.19,64.92,7.3,214,41.0,436.818,117.537,15.2
26.57,52.39,2.21,106,47.0,270.533,114.145,1.98
12.78,25.92,4.96,209,34.0,307.5,42.129,46.9
5.14,9.0,7.85,189,19.0,453.538,129.076,9.9
21.18,24.79,4.9,55,43.0,94.25,26.196,12.6
23.94,29.86,9.21,59,45.0,105.254,40.098,57.1
29.18,28.13,3.04,148,0.0,138.368,40.464,0.0
10.96,33.09,6.93,51,34.0,108.464,23.821,7.44
19.84,13.75,4.44,129,0.0,174.85,43.016,0.0
20.02,27.47,9.26,165,43.0,211.538,60.246,1.9
18.67,56.9,7.77,236,41.0,299.417,60.423,42.5
12.54,55.89,2.15,56,37.0,145.2,38.689,8.42
16.13,74.04,0.33,159,42.0,324.533,110.889,2.73
8.4,45.24,7.94,161,33.0,320.75,43.333,1.45
25.49,5.44,8.33,45,54.0,76.08,56.391,13.5
12.33,56.44,6.36,208,30.0,337.944,61.459,2.28
25.43,14.72,5.07,109,45.0,146.187,56.682,14.3
10.2,44.1,3.59,102,31.0,216.688,44.956,23.0
18.32,49.2,5.54,80,39.0,133.75,34.457,11.8
10.7,60.5,6.38,78,33.0,192.0,51.359,6.96
25.41,17.26,2.59,177,48.0,289.917,119.36,66.4
10.41,67.41,6.45,203,29.0,363.118,52.682,2.76
6.42,60.13,4.12,85,27.0,277.733,54.2,1.3
18.92,45.53,7.3,138,43.0,200.067,71.61,1.65
20.06,28.48,5.96,82,41.0,129.05,38.095,12.4
10.44,32.2,3.28,47,38.0,130.55,50.491,6.9
15.71,68.77,0.93,51,56.0,166.625,29.861,3.4
8.18,62.5,2.54,177,31.0,394.842,63.92,2.21
16.14,44.08,7.03,78,42.0,142.867,33.099,1.71
19.73,65.82,7.78,216,40.0,259.2,36.66,1.73
27.12,25.84,0.7,97,53.0,399.625,193.192,30.0
13.18,54.18,3.89,146,30.0,246.0,67.052,23.4
14.24,12.69,7.93,103,36.0,161.944,62.709,1.11
6.63,13.02,5.11,186,26.0,451.222,93.304,26.1
23.58,25.55,0.51,100,41.0,170.714,62.684,3.37
22.53,34.87,5.23,228,46.0,222.778,29.141,2.34
18.92,49.49,7.68,124,45.0,185.0,70.955,12.1
14.23,20.67,7.47,183,42.0,269.769,61.331,21.2
5.53,50.37,6.53,194,26.0,557.706,47.778,9.46
15.06,48.77,3.46,78,32.0,137.615,29.734,1.14
29.47,49.45,0.03,244,49.0,438.917,86.139,1.97
8.31,35.77,2.2,156,34.0,367.077,74.441,17.8
28.91,75.15,0.39,149,51.0,335.455,52.001,2.43
18.33,49.93,3.02,199,40.0,258.842,57.767,2.5
24.48,18.71,3.04,47,46.0,91.344,65.265,2.81
29.41,74.57,0.82,67,71.0,560.2,103.496,1.01
19.07,9.75,7.55,225,39.0,236.765,57.237,52.2
9.3,41.27,5.96,35,32.0,114.515,25.937,6.68
20.07,52.6,6.17,44,65.0,168.2,36.893,7.43
12.28,35.06,2.43,21,56.0,78.462,8.582,5.61
19.33,70.47,5.05,225,43.0,326.909,72.216,1.21
5.83,17.38,6.01,208,23.0,585.385,100.125,12.6
24.42,37.86,6.2,179,49.0,244.333,65.366,2.02
28.52,6.63,7.13,205,47.0,165.583,38.101,15.4
13.23,6.78,0.15,138,31.0,178.562,31.001,28.3
29.37,63.87,9.08,155,47.0,207.412,52.115,10.6
21.6,13.83,4.22,118,43.0,132.738,35.192,2.0
10.39,31.41,6.97,171,33.0,298.556,31.545,1.17
19.46,13.52,3.92,143,48.0,201.846,76.964,5.16
27.44,6.26,8.62,57,51.0,118.338,80.515,14.1
21.7,36.14,7.82,70,46.0,107.245,22.769,12.3
13.29,31.47,0.95,138,31.0,209.471,33.238,2.99
23.77,11.32,6.05,227,45.0,259.923,79.335,49.0
22.52,17.19,1.88,197,42.0,176.923,41.736,1.51
16.16,11.17,3.4,135,42.0,205.692,70.118,1.56
6.04,24.08,1.7,117,24.0,315.0,41.475,12.2
19.32,44.49,3.62,67,42.0,135.0,53.158,11.8
26.46,53.06,3.43,125,46.0,271.333,83.967,14.9
26.65,7.46,9.09,149,55.0,184.494,81.894,15.5
9.42,17.44,6.93,156,30.0,292.0,40.829,65.3
21.19,61.32,2.84,238,42.0,301.1,80.721,1.48
29.84,75.59,8.04,61,73.0,382.8,106.781,1.58
25.73,72.6,6.58,60,69.0,190.286,46.021,1.31
25.77,34.21,9.72,134,45.0,184.818,84.471,39.9
18.61,49.63,1.89,241,37.0,376.364,80.088,1.03
18.75,65.29,6.62,122,37.0,194.2,45.718,12.5
19.87,11.8,9.64,23,44.0,49.7,26.934,11.6
5.36,40.25,2.12,97,21.0,306.188,35.176,11.7
9.64,53.07,9.84,105,37.0,250.944,45.372,15.1
21.33,47.45,2.19,66,48.0,149.192,52.244,2.28
