bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
50,18.083781561116197,1,100,0,50.5,15.73070246365368,52.4
10,11.967513478038583,1,100,0,264.16,495.9969233775548,10.5
50,44.31792679402538,1,100,0,123.84,44.07116971445165,52.4
10,30.606920495478874,0,50,0,109.96,68.48578684661511,10.5
50,22.769770886397616,0,200,0,101.68,53.97126087094872,52.3
50,19.512019845186682,1,100,0,59.12,15.516990687630122,52.2
50,18.583668012123578,0,100,0,52.76,16.274458516337802,52.4
10,25.736027467065355,5,100,0,92.08,44.25603913591907,10.5
10,39.51241765306949,1,50,0,117.52,50.806761361062954,10.5
10,12.52477677592842,0,50,0,35.620000000000005,14.583620949544732,10.3
50,15.912862355043343,5,50,0,48.66,15.055331281642392,52.3
20,17.86875801717329,0,100,0,57.58,16.26828202361884,20.9
20,38.73847454518731,1,100,0,103.5,35.48901238411686,21.0
5,8.871248715384677,5,200,0,254.54,491.20717421470954,5.23
10,25.219326080746622,1,100,20,84.75,28.025524080737547,10.3
5,10.51390049248543,1,100,0,38.94,14.010281938633499,5.25
10,9.222128675385548,1,100,0,28.2,11.340855346930407,10.5
10,6.04874208018202,5,100,0,47.28,16.305428543892983,10.5
10,17.99239471454361,0,200,0,54.28,20.497121749162737,10.5
50,16.552871527030778,1,50,0,47.48,14.370873320713674,52.4
5,26.107758259595894,5,200,20,94.425,21.3754337187966,5.25
5,25.75629150337805,5,50,0,91.86,30.332952378560186,5.24
20,34.21616388681897,0,50,0,93.78,28.543685816656545,21.0
5,7.037585432313962,5,100,0,52.96,42.45671913843556,5.25
5,28.749943500352224,0,200,0,104.4,43.67081405240804,5.21
10,28.80596016268055,0,50,0,102.06,41.42822709216507,10.5
20,36.56168969999231,0,50,0,123.14,57.48580694397531,20.9
50,40.41058452981206,0,200,0,112.24,35.085438574998605,51.5
20,27.689394718602173,0,100,0,78.96,25.75651373924662,21.0
20,39.699771013360056,2,50,20,123.325,40.777557144422794,20.9
10,35.29261460561753,2,50,0,138.32,51.646994104207074,10.5
20,14.157139614937298,2,200,0,68.14,42.71226989987772,21.0
20,10.186901649121502,2,100,0,253.1,479.6721432395256,21.0
5,9.091371563579452,2,50,20,28.175,11.802930427087448,5.25
50,41.74285848753201,1,50,0,137.96,60.21169321651734,52.4
10,18.80892806628092,5,200,20,103.95,106.46656752239174,10.5
50,44.855230374421645,2,200,20,123.725,53.59262231563843,52.3
5,46.34266182290705,1,200,0,129.4,54.62874701107467,5.25
10,10.72096114611557,2,50,0,35.56,25.24595017027484,9.84
20,5.57239265137505,1,100,0,44.4,32.780787055835006,20.9
50,23.30745386893795,0,200,0,76.88,19.656474760241217,52.4
10,12.183016498289165,2,100,20,42.425,8.42629811957778,10.5
20,39.46170851810609,5,50,0,123.96,40.34071144637883,20.9
10,40.321465124859074,2,100,0,115.8,35.12235755185007,10.5
10,38.15363384142562,5,200,0,139.84,100.39488532788909,10.5
5,25.11626229244706,5,100,20,93.475,30.355710610471085,5.25
20,31.8961373646981,0,50,0,90.64,24.755363055305814,20.5
10,49.05888691868452,1,200,0,162.4,54.52797447182501,10.5
10,14.332003667820366,5,200,20,51.925,26.169240850025943,10.5
20,42.342201213482404,5,50,20,142.625,64.91175420009333,21.0
50,8.829079035935731,5,100,0,26.8,6.973162840490678,52.3
5,37.15320115832597,1,200,20,129.75,70.10342359685438,5.25
