bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
5,6.182358590336289,0,50,50,148.6,24.419254697881343,2.5
5,26.188937021275503,1,100,50,327.4,56.76090203652511,2.5
5,23.30308636837753,1,100,50,306.6,36.80081520836189,2.5
50,26.462737911148455,0,200,50,417.4,45.15307298512472,25.0
20,16.910455143315623,2,100,50,139.32,61.50160160516147,10.0
10,6.1048265212746,1,100,30,182.57142857142858,42.94126664354908,7.0
20,17.182423201918866,2,50,100,,0.0,0.0
10,30.057621627432304,5,200,50,381.2,49.71619454463505,5.0
50,33.77606623579081,5,50,70,514.0,130.64072871811456,15.000000000000002
20,16.685285516907697,1,100,60,93.325,10.63308515906837,8.0
5,29.019789287901546,5,100,40,291.5,23.78865275714453,3.0
10,40.62417348768276,1,200,30,377.7142857142857,69.92785397754433,7.0
5,46.16881573995432,0,100,40,344.5,34.67419789987939,3.0
5,45.060920966608144,1,200,50,655.8,46.84762534003191,2.5
5,20.92861359135712,5,50,40,191.33333333333334,40.84442026356436,3.0
5,30.587073377505305,2,100,80,283.5,4.949747468305833,0.9999999999999998
50,44.19107974700872,0,50,60,414.0,31.336879231984796,20.0
5,35.713131783745865,1,100,70,324.3333333333333,28.04163571073081,1.5000000000000002
50,8.46853555311323,2,200,70,523.0,65.81793068761733,15.000000000000002
5,13.733335468142961,0,200,30,566.1428571428571,56.916396499393656,3.5
50,6.402472281265528,5,50,40,365.6666666666667,59.88878581726855,30.0
5,14.592805563029916,5,100,20,298.75,35.033657286345985,4.0
5,19.60209822963933,2,100,70,287.3333333333333,17.7857620959388,1.5000000000000002
5,5.422446986948142,1,50,40,139.66666666666666,13.396516960264957,3.0
50,14.924509069876798,0,200,70,519.3333333333334,150.7061157794644,15.000000000000002
50,11.780255094979928,2,200,60,439.25,78.24906815206599,20.0
50,19.393878899961166,5,100,50,405.0,19.685019685029527,25.0
50,22.31282033423895,2,200,50,424.0,35.72814016989969,25.0
